DID,Dist,PID,Dir,Apara,r,slope,cant,LW,RW
1,0,1,0,0,1,1,1,1,1
2,1,4,0,0,1,1,1,1,1
17,16,20,0,0,1,1,1,1,1
18,17,21,0,0,1,1,1,1,1
19,18,22,0,0,1,1,1,1,1
20,19,23,0,0,1,1,1,1,1
21,20,24,0,0,1,1,1,1,1
22,21,25,0,0,1,1,1,1,1
23,22,26,0,0,1,1,1,1,1
24,23,27,0,0,1,1,1,1,1
25,24,28,0,0,1,1,1,1,1
26,25,29,0,0,1,1,1,1,1
27,26,30,0,0,1,1,1,1,1
28,27,31,0,0,1,1,1,1,1
29,28,32,0,0,1,1,1,1,1
30,29,33,0,0,1,1,1,1,1
31,30,34,0,0,1,1,1,1,1
32,31,35,0,0,1,1,1,1,1
33,32,36,0,0,1,1,1,1,1
34,33,37,0,0,1,1,1,1,1
35,34,38,0,0,1,1,1,1,1
36,35,39,0,0,1,1,1,1,1
37,36,40,0,0,1,1,1,1,1
38,37,41,0,0,1,1,1,1,1
39,38,42,0,0,1,1,1,1,1
40,39,43,0,0,1,1,1,1,1
41,40,44,0,0,1,1,1,1,1
42,41,45,0,0,1,1,1,1,1
43,42,46,0,0,1,1,1,1,1
44,43,47,0,0,1,1,1,1,1
45,44,48,0,0,1,1,1,1,1
46,45,49,0,0,1,1,1,1,1
47,46,50,0,0,1,1,1,1,1
48,47,51,0,0,1,1,1,1,1
49,48,52,0,0,1,1,1,1,1
50,49,53,0,0,1,1,1,1,1
51,50,54,0,0,1,1,1,1,1
52,51,55,0,0,1,1,1,1,1
53,52,56,0,0,1,1,1,1,1
54,53,57,0,0,1,1,1,1,1
55,54,58,0,0,1,1,1,1,1
56,55,59,0,0,1,1,1,1,1
57,56,60,0,0,1,1,1,1,1
58,57,61,0,0,1,1,1,1,1
59,58,62,0,0,1,1,1,1,1
60,59,63,0,0,1,1,1,1,1
61,60,64,0,0,1,1,1,1,1
62,61,65,0,0,1,1,1,1,1
63,62,66,0,0,1,1,1,1,1
64,63,67,0,0,1,1,1,1,1
65,64,68,0,0,1,1,1,1,1
66,65,69,0,0,1,1,1,1,1
67,66,70,0,0,1,1,1,1,1
68,67,70,0,0,1,1,1,1,1
69,68,71,0,0,1,1,1,1,1
70,69,72,0,0,1,1,1,1,1
71,70,73,0,0,1,1,1,1,1
72,71,74,0,0,1,1,1,1,1
73,72,75,0,0,1,1,1,1,1
74,73,76,0,0,1,1,1,1,1
75,74,77,0,0,1,1,1,1,1
76,75,78,0,0,1,1,1,1,1
77,76,79,0,0,1,1,1,1,1
78,77,80,0,0,1,1,1,1,1
79,78,81,0,0,1,1,1,1,1
80,79,82,0,0,1,1,1,1,1
81,80,83,0,0,1,1,1,1,1
82,81,84,0,0,1,1,1,1,1
83,82,85,0,0,1,1,1,1,1
84,83,86,0,0,1,1,1,1,1
85,84,87,0,0,1,1,1,1,1
86,85,88,0,0,1,1,1,1,1
87,86,89,0,0,1,1,1,1,1
88,87,90,0,0,1,1,1,1,1
89,88,91,0,0,1,1,1,1,1
90,89,92,0,0,1,1,1,1,1
91,90,93,0,0,1,1,1,1,1
92,91,94,0,0,1,1,1,1,1
93,92,95,0,0,1,1,1,1,1
94,93,96,0,0,1,1,1,1,1
95,94,97,0,0,1,1,1,1,1
96,95,98,0,0,1,1,1,1,1
97,96,99,0,0,1,1,1,1,1
98,97,100,0,0,1,1,1,1,1
99,98,101,0,0,1,1,1,1,1
100,99,102,0,0,1,1,1,1,1
101,100,103,0,0,1,1,1,1,1
102,101,104,0,0,1,1,1,1,1
103,102,105,0,0,1,1,1,1,1
104,103,106,0,0,1,1,1,1,1
105,104,107,0,0,1,1,1,1,1
106,105,108,0,0,1,1,1,1,1
107,106,109,0,0,1,1,1,1,1
108,107,110,0,0,1,1,1,1,1
109,108,111,0,0,1,1,1,1,1
110,109,112,0,0,1,1,1,1,1
111,110,113,0,0,1,1,1,1,1
112,111,114,0,0,1,1,1,1,1
113,112,115,0,0,1,1,1,1,1
114,113,116,0,0,1,1,1,1,1
115,114,117,0,0,1,1,1,1,1
116,115,118,0,0,1,1,1,1,1
117,116,119,0,0,1,1,1,1,1
118,117,120,0,0,1,1,1,1,1
119,118,121,0,0,1,1,1,1,1
120,119,2,0,0,1,1,1,1,1
121,120,123,0,0,1,1,1,1,1
122,121,124,0,0,1,1,1,1,1
123,122,125,0,0,1,1,1,1,1
124,123,126,0,0,1,1,1,1,1
125,124,127,0,0,1,1,1,1,1
126,125,128,0,0,1,1,1,1,1
127,126,129,0,0,1,1,1,1,1
128,127,130,0,0,1,1,1,1,1
129,128,131,0,0,1,1,1,1,1
130,129,132,0,0,1,1,1,1,1
131,130,133,0,0,1,1,1,1,1
132,131,134,0,0,1,1,1,1,1
133,132,135,0,0,1,1,1,1,1
134,133,136,0,0,1,1,1,1,1
135,134,137,0,0,1,1,1,1,1
136,135,138,0,0,1,1,1,1,1
137,136,139,0,0,1,1,1,1,1
138,137,140,0,0,1,1,1,1,1
139,138,141,0,0,1,1,1,1,1
140,139,142,0,0,1,1,1,1,1
141,140,143,0,0,1,1,1,1,1
142,141,144,0,0,1,1,1,1,1
143,142,145,0,0,1,1,1,1,1
144,143,146,0,0,1,1,1,1,1
145,144,147,0,0,1,1,1,1,1
146,145,148,0,0,1,1,1,1,1
147,146,149,0,0,1,1,1,1,1
148,147,150,0,0,1,1,1,1,1
149,148,151,0,0,1,1,1,1,1
150,149,152,0,0,1,1,1,1,1
151,150,153,0,0,1,1,1,1,1
152,151,154,0,0,1,1,1,1,1
153,152,155,0,0,1,1,1,1,1
154,153,156,0,0,1,1,1,1,1
155,154,157,0,0,1,1,1,1,1
156,155,158,0,0,1,1,1,1,1
157,156,159,0,0,1,1,1,1,1
158,157,160,0,0,1,1,1,1,1
159,158,161,0,0,1,1,1,1,1
160,159,162,0,0,1,1,1,1,1
161,160,163,0,0,1,1,1,1,1
162,161,164,0,0,1,1,1,1,1
163,162,165,0,0,1,1,1,1,1
164,163,166,0,0,1,1,1,1,1
165,164,167,0,0,1,1,1,1,1
166,165,168,0,0,1,1,1,1,1
167,166,169,0,0,1,1,1,1,1
168,167,170,0,0,1,1,1,1,1
169,168,171,0,0,1,1,1,1,1
170,169,172,0,0,1,1,1,1,1
171,170,173,0,0,1,1,1,1,1
172,171,174,0,0,1,1,1,1,1
173,172,175,0,0,1,1,1,1,1
174,173,176,0,0,1,1,1,1,1
175,174,177,0,0,1,1,1,1,1
176,175,178,0,0,1,1,1,1,1
177,176,179,0,0,1,1,1,1,1
178,177,180,0,0,1,1,1,1,1
179,178,181,0,0,1,1,1,1,1
180,179,182,0,0,1,1,1,1,1
181,180,183,0,0,1,1,1,1,1
182,181,184,0,0,1,1,1,1,1
183,182,185,0,0,1,1,1,1,1
184,183,186,0,0,1,1,1,1,1
185,184,187,0,0,1,1,1,1,1
186,185,188,0,0,1,1,1,1,1
187,186,189,0,0,1,1,1,1,1
188,187,190,0,0,1,1,1,1,1
189,188,191,0,0,1,1,1,1,1
190,189,192,0,0,1,1,1,1,1
191,190,193,0,0,1,1,1,1,1
192,191,194,0,0,1,1,1,1,1
193,192,195,0,0,1,1,1,1,1
194,193,196,0,0,1,1,1,1,1
195,194,197,0,0,1,1,1,1,1
196,195,198,0,0,1,1,1,1,1
197,196,199,0,0,1,1,1,1,1
198,197,200,0,0,1,1,1,1,1
199,198,201,0,0,1,1,1,1,1
200,199,202,0,0,1,1,1,1,1
201,200,203,0,0,1,1,1,1,1
202,201,204,0,0,1,1,1,1,1
203,202,205,0,0,1,1,1,1,1
204,203,206,0,0,1,1,1,1,1
205,204,207,0,0,1,1,1,1,1
206,205,208,0,0,1,1,1,1,1
207,206,209,0,0,1,1,1,1,1
208,207,210,0,0,1,1,1,1,1
209,208,211,0,0,1,1,1,1,1
210,209,212,0,0,1,1,1,1,1
211,210,213,0,0,1,1,1,1,1
212,211,214,0,0,1,1,1,1,1
213,212,215,0,0,1,1,1,1,1
214,213,216,0,0,1,1,1,1,1
215,214,217,0,0,1,1,1,1,1
216,215,218,0,0,1,1,1,1,1
217,216,219,0,0,1,1,1,1,1
218,217,220,0,0,1,1,1,1,1
219,218,221,0,0,1,1,1,1,1
220,219,222,0,0,1,1,1,1,1
221,220,223,0,0,1,1,1,1,1
264,263,3,0,0,1,1,1,1,1
265,264,3,0,0,1,1,1,1,1
266,265,342,0,0,1,1,1,1,1
267,266,340,0,0,1,1,1,1,1
268,267,339,0,0,1,1,1,1,1
269,268,337,0,0,1,1,1,1,1
270,269,277,0,0,1,1,1,1,1
271,270,278,0,0,1,1,1,1,1
272,271,279,0,0,1,1,1,1,1
273,272,280,0,0,1,1,1,1,1
274,273,281,0,0,1,1,1,1,1
275,274,282,0,0,1,1,1,1,1
276,275,283,0,0,1,1,1,1,1
277,276,284,0,0,1,1,1,1,1
278,277,285,0,0,1,1,1,1,1
279,278,286,0,0,1,1,1,1,1
280,279,287,0,0,1,1,1,1,1
281,280,288,0,0,1,1,1,1,1
282,281,289,0,0,1,1,1,1,1
283,282,290,0,0,1,1,1,1,1
284,283,291,0,0,1,1,1,1,1
285,284,292,0,0,1,1,1,1,1
286,285,293,0,0,1,1,1,1,1
287,286,294,0,0,1,1,1,1,1
288,287,295,0,0,1,1,1,1,1
289,288,296,0,0,1,1,1,1,1
290,289,297,0,0,1,1,1,1,1
291,290,298,0,0,1,1,1,1,1
292,291,299,0,0,1,1,1,1,1
293,292,300,0,0,1,1,1,1,1
294,293,301,0,0,1,1,1,1,1
295,294,302,0,0,1,1,1,1,1
296,295,303,0,0,1,1,1,1,1
297,296,304,0,0,1,1,1,1,1
298,297,305,0,0,1,1,1,1,1
299,298,306,0,0,1,1,1,1,1
300,299,307,0,0,1,1,1,1,1
301,300,308,0,0,1,1,1,1,1
302,301,309,0,0,1,1,1,1,1
303,302,310,0,0,1,1,1,1,1
304,303,311,0,0,1,1,1,1,1
305,304,312,0,0,1,1,1,1,1
306,305,313,0,0,1,1,1,1,1
307,306,314,0,0,1,1,1,1,1
308,307,315,0,0,1,1,1,1,1
309,308,316,0,0,1,1,1,1,1
310,309,317,0,0,1,1,1,1,1
311,310,318,0,0,1,1,1,1,1
312,311,319,0,0,1,1,1,1,1
313,312,320,0,0,1,1,1,1,1
314,313,321,0,0,1,1,1,1,1
315,314,322,0,0,1,1,1,1,1
316,315,323,0,0,1,1,1,1,1
317,316,324,0,0,1,1,1,1,1
318,317,325,0,0,1,1,1,1,1
319,318,326,0,0,1,1,1,1,1
320,319,327,0,0,1,1,1,1,1
321,320,328,0,0,1,1,1,1,1
322,321,329,0,0,1,1,1,1,1
323,322,330,0,0,1,1,1,1,1
324,323,331,0,0,1,1,1,1,1
325,324,332,0,0,1,1,1,1,1
326,325,333,0,0,1,1,1,1,1
327,326,334,0,0,1,1,1,1,1
328,327,276,0,0,1,1,1,1,1
329,328,336,0,0,1,1,1,1,1
330,329,275,0,0,1,1,1,1,1
331,330,338,0,0,1,1,1,1,1
332,331,274,0,0,1,1,1,1,1
333,332,272,0,0,1,1,1,1,1
334,333,341,0,0,1,1,1,1,1
335,334,273,0,0,1,1,1,1,1
336,335,343,0,0,1,1,1,1,1
337,336,344,0,0,1,1,1,1,1
338,337,345,0,0,1,1,1,1,1
339,338,346,0,0,1,1,1,1,1
340,339,347,0,0,1,1,1,1,1
341,340,348,0,0,1,1,1,1,1
342,341,349,0,0,1,1,1,1,1
343,342,350,0,0,1,1,1,1,1
344,343,351,0,0,1,1,1,1,1
345,344,352,0,0,1,1,1,1,1
346,345,353,0,0,1,1,1,1,1
347,346,354,0,0,1,1,1,1,1
348,347,355,0,0,1,1,1,1,1
349,348,356,0,0,1,1,1,1,1
350,349,357,0,0,1,1,1,1,1
351,350,358,0,0,1,1,1,1,1
352,351,359,0,0,1,1,1,1,1
353,352,360,0,0,1,1,1,1,1
354,353,361,0,0,1,1,1,1,1
355,354,362,0,0,1,1,1,1,1
356,355,363,0,0,1,1,1,1,1
357,356,364,0,0,1,1,1,1,1
358,357,365,0,0,1,1,1,1,1
359,358,366,0,0,1,1,1,1,1
360,359,367,0,0,1,1,1,1,1
361,360,368,0,0,1,1,1,1,1
362,361,369,0,0,1,1,1,1,1
363,362,370,0,0,1,1,1,1,1
364,363,371,0,0,1,1,1,1,1
365,364,372,0,0,1,1,1,1,1
366,365,373,0,0,1,1,1,1,1
367,366,374,0,0,1,1,1,1,1
368,367,375,0,0,1,1,1,1,1
369,368,376,0,0,1,1,1,1,1
370,369,1,0,0,1,1,1,1,1
371,370,378,0,0,1,1,1,1,1
372,371,379,0,0,1,1,1,1,1
373,372,380,0,0,1,1,1,1,1
